Date,Type,Action,Client IP,Country name,Domain,WAF alerts,HTTP verb,Request URL,HTTP version,Referrer,Response code,Response size,Cache status,Fingerprint,Country code,Access Rule ID,Origin IP,Origin response time
" 4:05:43pm, Jan  9 +00:00",Access,-,162.88.252.170,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/weak_id?tag=/../../../../..//etc/passwd,1.1,-,403,1086,-,-,US,-,-,-
" 4:05:43pm, Jan  9 +00:00",Access,-,162.88.252.187,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,200,1082,NOTCACHED,-,US,-,165.227.250.169:80,2.678
" 4:05:43pm, Jan  9 +00:00",JSC,Block,162.88.252.148,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:43pm, Jan  9 +00:00",Access,-,162.88.252.189,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1086,-,-,US,-,-,-
" 4:05:43pm, Jan  9 +00:00",Access,-,162.88.252.148,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1087,-,-,US,-,-,-
" 4:05:43pm, Jan  9 +00:00",JSC,Block,162.88.252.170,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/weak_id?tag=/../../../../..//etc/passwd,1.1,-,403,-,-,-,US,-,-,-
" 4:05:43pm, Jan  9 +00:00",JSC,Block,162.88.252.177,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,-,-,-,US,-,-,-
" 4:05:43pm, Jan  9 +00:00",JSC,Block,162.88.252.189,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:37pm, Jan  9 +00:00",Access,-,162.88.252.131,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,1086,-,-,US,-,-,-
" 4:05:37pm, Jan  9 +00:00",JSC,Block,162.88.252.131,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,-,-,-,US,-,-,-
" 4:05:36pm, Jan  9 +00:00",JSC,Block,162.88.252.191,United States,zen86.cyberdemo.net,-,GET,/?american-express=***************,1.1,-,403,-,-,-,US,-,-,-
" 4:05:36pm, Jan  9 +00:00",JSC,Block,162.88.252.161,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:36pm, Jan  9 +00:00",Access,-,162.88.252.191,United States,zen86.cyberdemo.net,-,GET,/?american-express=342948562818002,1.1,-,403,1086,-,-,US,-,-,-
" 4:05:36pm, Jan  9 +00:00",Access,-,162.88.252.146,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,200,1082,NOTCACHED,-,US,-,165.227.250.169:80,2.859
" 4:05:36pm, Jan  9 +00:00",Access,-,162.88.252.161,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1086,-,-,US,-,-,-
" 4:05:35pm, Jan  9 +00:00",JSC,Block,162.88.252.131,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:35pm, Jan  9 +00:00",Access,-,162.88.252.131,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1086,-,-,US,-,-,-
" 4:05:35pm, Jan  9 +00:00",JSC,Block,162.88.252.159,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:35pm, Jan  9 +00:00",JSC,Block,162.88.252.180,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:35pm, Jan  9 +00:00",Access,-,162.88.252.180,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1086,-,-,US,-,-,-
" 4:05:35pm, Jan  9 +00:00",Access,-,162.88.252.159,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1086,-,-,US,-,-,-
" 4:05:33pm, Jan  9 +00:00",Access,-,162.88.252.173,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,200,1082,NOTCACHED,-,US,-,165.227.250.169:80,2.123
" 4:05:32pm, Jan  9 +00:00",JSC,Block,162.88.252.179,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,-,-,-,US,-,-,-
" 4:05:32pm, Jan  9 +00:00",Access,-,162.88.252.179,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,1087,-,-,US,-,-,-
" 4:05:31pm, Jan  9 +00:00",JSC,Block,162.88.252.171,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/xss_d?ver=1.2.1));waitfordelay'0:0:4'--,1.1,-,403,-,-,-,US,-,-,-
" 4:05:31pm, Jan  9 +00:00",Access,-,162.88.252.171,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/xss_d?ver=1.2.1));waitfordelay'0:0:4'--,1.1,-,403,1092,-,-,US,-,-,-
" 4:05:27pm, Jan  9 +00:00",Access,-,162.88.252.135,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,1087,-,-,US,-,-,-
" 4:05:27pm, Jan  9 +00:00",JSC,Block,162.88.252.135,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,-,-,-,US,-,-,-
" 4:05:26pm, Jan  9 +00:00",JSC,Block,162.88.252.147,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:26pm, Jan  9 +00:00",Access,-,162.88.252.154,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1087,-,-,US,-,-,-
" 4:05:26pm, Jan  9 +00:00",JSC,Block,162.88.252.164,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:26pm, Jan  9 +00:00",Access,-,162.88.252.147,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1087,-,-,US,-,-,-
" 4:05:26pm, Jan  9 +00:00",JSC,Block,162.88.252.154,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:26pm, Jan  9 +00:00",Access,-,162.88.252.164,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1087,-,-,US,-,-,-
" 4:05:25pm, Jan  9 +00:00",WAF Rules,Block,162.88.252.129,-,zen86.cyberdemo.net,"[{""id""=>""950005"", ""message""=>""Remote File Access Attempt. Matched Data: /etc/ found within ARGS:tag: /../../../../..//etc/passwd"", ""data""=>""Warning. Pattern match \""(?:\\\\b(?:\\\\.(?:ht(?:access|passwd|group)|www_?acl)|global\\\\.asa|httpd\\\\.conf|boot\\\\.ini)\\\\b|\\\\/etc\\\\/)\"" at ARGS:tag.""}, {""id""=>""960024"", ""message""=>""Meta-Character Anomaly Detection Alert - Repetative Non-Word Characters"", ""data""=>""Warning. Pattern match \""\\\\W{4,}\"" at ARGS:tag.""}, {""id""=>""950103"", ""message""=>""Path Traversal Attack. Matched variable: REQUEST_URI with value: /vulnerabilities/weak_id?tag=/../../../../..//etc/passwd"", ""data""=>""Access denied with code 403 (phase 2). Pattern match \""\\\\.\\\\.[/\\\\x5c]\"" at REQUEST_URI.""}]",GET,/vulnerabilities/weak_id?tag=/../../../../..//etc/passwd,HTTP/1.1,-,-,-,-,-,-,-,-,-
" 4:05:25pm, Jan  9 +00:00",JSC,Block,162.88.252.177,United States,zen86.cyberdemo.net,-,GET,/?american-express=***************,1.1,-,403,-,-,-,US,-,-,-
" 4:05:25pm, Jan  9 +00:00",Access,-,162.88.252.129,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/weak_id?tag=/../../../../..//etc/passwd,1.1,-,403,2414,-,-,US,-,-,0.007
" 4:05:25pm, Jan  9 +00:00",Access,-,162.88.252.177,United States,zen86.cyberdemo.net,-,GET,/?american-express=342948562818002,1.1,-,403,1086,-,-,US,-,-,-
" 4:05:22pm, Jan  9 +00:00",Access,-,162.88.252.158,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,1087,-,-,US,-,-,-
" 4:05:22pm, Jan  9 +00:00",JSC,Block,162.88.252.158,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,-,-,-,US,-,-,-
" 4:05:20pm, Jan  9 +00:00",Access,-,162.88.252.134,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1087,-,-,US,-,-,-
" 4:05:20pm, Jan  9 +00:00",JSC,Block,162.88.252.186,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:20pm, Jan  9 +00:00",JSC,Block,162.88.252.140,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:20pm, Jan  9 +00:00",JSC,Block,162.88.252.134,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:20pm, Jan  9 +00:00",Access,-,162.88.252.186,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1086,-,-,US,-,-,-
" 4:05:20pm, Jan  9 +00:00",Access,-,162.88.252.140,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1087,-,-,US,-,-,-
" 4:05:17pm, Jan  9 +00:00",JSC,Block,162.88.252.167,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,-,-,-,US,-,-,-
" 4:05:17pm, Jan  9 +00:00",Access,-,162.88.252.167,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,1087,-,-,US,-,-,-
" 4:05:16pm, Jan  9 +00:00",JSC,Block,162.88.252.182,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/xss_d?ver=1.2.1));waitfordelay'0:0:4'--,1.1,-,403,-,-,-,US,-,-,-
" 4:05:16pm, Jan  9 +00:00",Access,-,162.88.252.182,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/xss_d?ver=1.2.1));waitfordelay'0:0:4'--,1.1,-,403,1092,-,-,US,-,-,-
" 4:05:15pm, Jan  9 +00:00",Access,-,162.88.252.133,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1087,-,-,US,-,-,-
" 4:05:15pm, Jan  9 +00:00",Access,-,162.88.252.164,United States,zen86.cyberdemo.net,-,GET,/?american-express=342948562818002,1.1,-,403,1087,-,-,US,-,-,-
" 4:05:15pm, Jan  9 +00:00",JSC,Block,162.88.252.133,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:15pm, Jan  9 +00:00",JSC,Block,162.88.252.164,United States,zen86.cyberdemo.net,-,GET,/?american-express=***************,1.1,-,403,-,-,-,US,-,-,-
" 4:05:15pm, Jan  9 +00:00",JSC,Block,162.88.252.142,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:15pm, Jan  9 +00:00",JSC,Block,162.88.252.148,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:15pm, Jan  9 +00:00",Access,-,162.88.252.148,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1086,-,-,US,-,-,-
" 4:05:15pm, Jan  9 +00:00",Access,-,162.88.252.142,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1087,-,-,US,-,-,-
" 4:05:12pm, Jan  9 +00:00",Access,-,162.88.252.167,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,1087,-,-,US,-,-,-
" 4:05:12pm, Jan  9 +00:00",JSC,Block,162.88.252.167,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,-,-,-,US,-,-,-
" 4:05:10pm, Jan  9 +00:00",JSC,Block,162.88.252.153,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/weak_id?tag=/../../../../..//etc/passwd,1.1,-,403,-,-,-,US,-,-,-
" 4:05:10pm, Jan  9 +00:00",Access,-,162.88.252.153,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/weak_id?tag=/../../../../..//etc/passwd,1.1,-,403,1087,-,-,US,-,-,-
" 4:05:09pm, Jan  9 +00:00",JSC,Block,162.88.252.164,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:09pm, Jan  9 +00:00",JSC,Block,162.88.252.149,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:09pm, Jan  9 +00:00",Access,-,162.88.252.164,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1087,-,-,US,-,-,-
" 4:05:09pm, Jan  9 +00:00",JSC,Block,162.88.252.154,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:09pm, Jan  9 +00:00",Access,-,162.88.252.149,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1087,-,-,US,-,-,-
" 4:05:09pm, Jan  9 +00:00",Access,-,162.88.252.154,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1086,-,-,US,-,-,-
" 4:05:07pm, Jan  9 +00:00",Access,-,162.88.252.173,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,2415,-,-,US,-,-,0.005
" 4:05:07pm, Jan  9 +00:00",WAF Rules,Block,162.88.252.173,-,zen86.cyberdemo.net,"[{""id""=>""950002"", ""message""=>""System Command Access. Matched Data: telnet.exe found within ARGS:a: telnet.exe"", ""data""=>""Warning. Pattern match \""\\\\b(?:(?:n(?:map|et|c)|w(?:guest|sh)|telnet|rcmd|ftp)\\\\.exe\\\\b|cmd(?:(?:32)?\\\\.exe\\\\b|\\\\b\\\\W*?\\\\/c))\"" at ARGS:a.""}, {""id""=>""950006"", ""message""=>""System Command Injection"", ""data""=>""Access denied with code 403 (phase 2). Pattern match \""(?:\\\\b(?:(?:n(?:et(?:\\\\b\\\\W+?\\\\blocalgroup|\\\\.exe)|(?:map|c)\\\\.exe)|t(?:racer(?:oute|t)|elnet\\\\.exe|clsh8?|ftp)|(?:w(?:guest|sh)|rcmd|ftp)\\\\.exe|echo\\\\b\\\\W*?\\\\by+)\\\\b|c(?:md(?:(?:\\\\.exe|32)\\\\b|\\\\b\\\\W*?\\\\/c)|d(?:\\\\b\\\\W*?[\\\\/]|\\\\W*?\\\\.\\\\.)|hmod.{0,40}?\\\\ ...\"" at ARGS:a.""}]",GET,/vulnerabilities/exec?a=telnet.exe,HTTP/1.1,-,-,-,-,-,-,-,-,-
" 4:05:05pm, Jan  9 +00:00",Access,-,162.88.252.168,United States,zen86.cyberdemo.net,-,GET,/?american-express=342948562818002,1.1,-,403,1087,-,-,US,-,-,-
" 4:05:05pm, Jan  9 +00:00",JSC,Block,162.88.252.168,United States,zen86.cyberdemo.net,-,GET,/?american-express=***************,1.1,-,403,-,-,-,US,-,-,-
" 4:05:04pm, Jan  9 +00:00",Access,-,162.88.252.135,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1086,-,-,US,-,-,-
" 4:05:04pm, Jan  9 +00:00",JSC,Block,162.88.252.135,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:03pm, Jan  9 +00:00",Access,-,162.88.252.160,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1086,-,-,US,-,-,-
" 4:05:03pm, Jan  9 +00:00",JSC,Block,162.88.252.186,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:03pm, Jan  9 +00:00",JSC,Block,162.88.252.160,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:03pm, Jan  9 +00:00",Access,-,162.88.252.186,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1087,-,-,US,-,-,-
" 4:05:02pm, Jan  9 +00:00",JSC,Block,91.198.22.133,United Kingdom,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,GB,-,-,-
" 4:05:02pm, Jan  9 +00:00",JSC,Block,216.146.38.134,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:05:02pm, Jan  9 +00:00",Access,-,80.231.25.133,Europe,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1085,-,-,EU,-,-,-
" 4:05:02pm, Jan  9 +00:00",Access Rules,Alert,91.198.22.133,United Kingdom,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,GB,gdpr,-,-
" 4:05:02pm, Jan  9 +00:00",Access,-,216.146.38.134,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1086,-,-,US,-,-,-
" 4:05:02pm, Jan  9 +00:00",Access,-,91.198.22.133,United Kingdom,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1085,-,-,GB,-,-,-
" 4:05:02pm, Jan  9 +00:00",JSC,Block,80.231.25.133,Europe,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,EU,-,-,-
" 4:05:01pm, Jan  9 +00:00",Access,-,162.88.252.156,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,1087,-,-,US,-,-,-
" 4:05:01pm, Jan  9 +00:00",JSC,Block,162.88.252.156,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,-,-,-,US,-,-,-
" 4:04:59pm, Jan  9 +00:00",Access,-,162.88.252.185,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/xss_d?ver=1.2.1));waitfordelay'0:0:4'--,1.1,-,403,1092,-,-,US,-,-,-
" 4:04:59pm, Jan  9 +00:00",JSC,Block,162.88.252.185,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/xss_d?ver=1.2.1));waitfordelay'0:0:4'--,1.1,-,403,-,-,-,US,-,-,-
" 4:04:58pm, Jan  9 +00:00",Access,-,162.88.252.147,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1087,-,-,US,-,-,-
" 4:04:58pm, Jan  9 +00:00",Access,-,162.88.252.185,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1087,-,-,US,-,-,-
" 4:04:58pm, Jan  9 +00:00",Access,-,162.88.252.138,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1086,-,-,US,-,-,-
" 4:04:58pm, Jan  9 +00:00",WAF Rules,Alert,162.88.252.146,-,zen86.cyberdemo.net,"[{""id""=>""981078"", ""data""=>""Warning. CC# match \""(?:^|[^\\d])(\\d{4}\\-?\\d{4}\\-?\\d{2}\\-?\\d{2}\\-?\\d{1,4})(?:[^\\d]|$)\"" at ARGS:american-express. [offset \""0\""]""}, {""id""=>""920009"", ""message""=>""American Express Credit Card Number detected in user input"", ""data""=>""Warning. CC# match \""(?:^|[^\\d])(3[47]\\d{2}\\-?\\d{4}\\-?\\d{2}\\-?\\d{2}\\-?\\d{3})(?:[^\\d]|$)\"" at ARGS:american-express. [offset \""0\""]""}, {""id""=>""90009"", ""message""=>""American Express Credit Card Number detected in user input"", ""data""=>""Warning. CC# match \""(?:^|[^\\d])(3[47]\\d{2}\\-?\\d{4}\\-?\\d{2}\\-?\\d{2}\\-?\\d{3})(?:[^\\d]|$)\"" at ARGS:american-express. [offset \""0\""]""}]",GET,/?american-express=***************,HTTP/1.1,-,-,-,-,-,-,-,-,-
" 4:04:58pm, Jan  9 +00:00",JSC,Block,162.88.252.138,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:04:58pm, Jan  9 +00:00",JSC,Block,162.88.252.147,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:04:58pm, Jan  9 +00:00",Access,-,162.88.252.146,United States,zen86.cyberdemo.net,-,GET,/?american-express=342948562818002,1.1,-,200,1082,NOTCACHED,-,US,-,165.227.250.169:80,3.537
" 4:04:58pm, Jan  9 +00:00",JSC,Block,162.88.252.185,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:04:56pm, Jan  9 +00:00",Access,-,162.88.252.142,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,1086,-,-,US,-,-,-
" 4:04:56pm, Jan  9 +00:00",JSC,Block,162.88.252.142,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,-,-,-,US,-,-,-
" 4:04:53pm, Jan  9 +00:00",Access,-,162.88.252.128,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/weak_id?tag=/../../../../..//etc/passwd,1.1,-,403,1087,-,-,US,-,-,-
" 4:04:53pm, Jan  9 +00:00",JSC,Block,162.88.252.128,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/weak_id?tag=/../../../../..//etc/passwd,1.1,-,403,-,-,-,US,-,-,-
" 4:04:52pm, Jan  9 +00:00",JSC,Block,162.88.252.165,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:04:52pm, Jan  9 +00:00",JSC,Block,162.88.252.184,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:04:52pm, Jan  9 +00:00",JSC,Block,162.88.252.178,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:04:52pm, Jan  9 +00:00",Access,-,162.88.252.178,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1087,-,-,US,-,-,-
" 4:04:52pm, Jan  9 +00:00",Access,-,162.88.252.165,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1086,-,-,US,-,-,-
" 4:04:52pm, Jan  9 +00:00",Access,-,162.88.252.184,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1087,-,-,US,-,-,-
" 4:04:51pm, Jan  9 +00:00",Access,-,162.88.252.157,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,1087,-,-,US,-,-,-
" 4:04:51pm, Jan  9 +00:00",JSC,Block,162.88.252.157,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,-,-,-,US,-,-,-
" 4:04:49pm, Jan  9 +00:00",Access,-,162.88.252.188,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,200,1082,NOTCACHED,-,US,-,165.227.250.169:80,2.636
" 4:04:49pm, Jan  9 +00:00",JSC,Block,162.88.252.181,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:04:49pm, Jan  9 +00:00",Access,-,162.88.252.181,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1086,-,-,US,-,-,-
" 4:04:47pm, Jan  9 +00:00",JSC,Block,162.88.252.191,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,-,-,-,US,-,-,-
" 4:04:47pm, Jan  9 +00:00",Access,-,162.88.252.191,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,1086,-,-,US,-,-,-
" 4:04:46pm, Jan  9 +00:00",JSC,Block,162.88.252.171,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
" 4:04:46pm, Jan  9 +00:00",Access,-,162.88.252.171,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1086,-,-,US,-,-,-
" 4:04:45pm, Jan  9 +00:00",Access,-,162.88.252.140,United States,zen86.cyberdemo.net,-,GET,/?american-express=342948562818002,1.1,-,403,1086,-,-,US,-,-,-
" 4:04:45pm, Jan  9 +00:00",JSC,Block,162.88.252.140,United States,zen86.cyberdemo.net,-,GET,/?american-express=***************,1.1,-,403,-,-,-,US,-,-,-
" 4:04:41pm, Jan  9 +00:00",Access,-,162.88.252.184,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1086,-,-,US,-,-,-
" 4:04:41pm, Jan  9 +00:00",Access,-,162.88.252.158,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,1086,-,-,US,-,-,-
" 4:04:41pm, Jan  9 +00:00",Access,-,162.88.252.137,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,1087,-,-,US,-,-,-
" 4:04:41pm, Jan  9 +00:00",JSC,Block,162.88.252.137,United States,zen86.cyberdemo.net,-,GET,/vulnerabilities/exec?a=telnet.exe,1.1,-,403,-,-,-,US,-,-,-
" 4:04:41pm, Jan  9 +00:00",JSC,Block,162.88.252.158,United States,zen86.cyberdemo.net,-,GET,/,1.1,-,403,-,-,-,US,-,-,-
